sample_name,read_counts,alignment_rates
IAN5-19-22-43,961614,94.32
IAN5-19-22-44,1206065,94.29
IAN5-19-22-48,1364262,93.24
IAN5-19-22-47,1529871,93.95
IAN5-19-22-45,859641,94.05
IAN7-18-22-11,4196861,3.8
IAN5-19-22-46,1442618,92.74
IAN5-19-22-40,1128547,94.53
IAN5-19-22-49,685363,93.89
IAN3-17-22-41,588323,92.96
IAN3-17-22-44,1303065,92.78
IAN3-17-22-46,978621,94.56
IAN3-22-22-5,1971343,94.19
IAN3-22-22-12,2671200,93.27
IAN3-17-22-48,2400488,93.99
IAN3-15-22-13,1084500,92.95
IAN3-15-22-12,1154842,92.45
IAN3-15-22-15,967678,94.58
IAN3-15-22-17,1062537,94.47
IAN3-15-22-30,1261311,94.49
IAN3-17-22-15,1259964,94.62
IAN3-15-22-26,1512201,94.34
IAN3-15-22-19,1569097,94.4
IAN3-17-22-6,1931148,77.04
IAN3-15-22-23,1693176,94.29
IAN3-15-22-09,1315093,94.53
IAN3-17-22-1,1560060,94.41
IAN5-28-22-14B,932462,93.17
IAN5-28-22-7,1031388,92.86
IAN5-28-22-25,1536636,94.45
IAN5-28-22-27,786048,94.61
IAN6-20-22-13,1594307,94.51
IAN7-18-22-14,1258669,94.82
IAN6-20-22-11,1240138,94.75
IAN3-3-22-2,623289,93.24
IAN3-17-22-18,3005557,93.47
IAN6-20-22-7,955347,94.85
IAN5-28-22-6,1183988,94.89
IAN6-20-22-14,2394629,94.02
IAN5-28-22-3,1612675,89.77
IAN11-22-21-04,2126791,78.11
IAN11-22-21-12,1545997,94.2
IAN11-22-21-19,1620851,93.98
IAN3-15-22-03,1385954,94.47
IAN3-15-22-06,2285583,94.05
IAN3-15-22-02,1667389,94.24
IAN2-1-22-18,2294817,94.03
IAN3-15-22-05,1917796,94.02
IAN2-1-22-28,1676623,94.22
IAN11-17-21-01,1896622,94.65
IAN3-15-22-04,2040456,94.13
IAN3-24-22-9,692753,93.33
IAN3-24-22-7,1861036,93.38
IAN3-24-22-11,1212474,93.6
IAN3-24-22-13,950444,94.1
IAN5-03-22-2,634878,94.86
IAN5-19-22-14,2781209,93.57
IAN3-31-22-6,1850566,93.86
IAN3-24-22-15,2018824,93.84
IAN5-19-22-11,2078229,93.61
IAN3-31-22-1,1661497,93.87
IAN3-24-22-5,789105,94.76
IAN5-19-22-10,1759273,94
IAN5-19-22-16,1943544,92.72
IAN5-19-22-22,1840665,93.71
IAN5-19-22-26,1987554,85.77
IAN5-28-22-12,1767987,94.41
IAN5-28-22-17,1245074,94.35
IAN5-28-22-10,1521227,94.28
IAN5-28-22-04,1238352,94.28
IAN5-28-22-15,2313655,93.71
IAN5-28-22-09,2181919,93.95
IAN5-19-22-15,2028519,93.91
IAN5-28-22-13,1896036,93.95
IAN5-28-22-19,537337,92.28
IAN5-28-22-21,1622123,94.03
IAN5-28-22-22,1864402,94.17
IAN5-28-22-30,296337,94.86
IAN6-02-22-05,1630431,93.96
IAN5-28-22-29,940665,94.27
IAN5-28-22-26,1423445,93.93
IAN5-28-22-32,2158725,93.74
IAN6-13-22-25,3136055,93.69
IAN5-28-22-18,1242943,94.39
IAN5-28-22-31,1304455,94.28
IAN5-28-22-20,910805,92.62
IAN6-13-22-02,1126965,92.31
IAN6-13-22-04,1927262,93.92
IAN6-13-22-05,1070592,94.14
IAN6-13-22-09,1764758,94.18
IAN6-13-22-13,1508735,93.35
IAN6-13-22-08,1559826,94.19
IAN6-13-22-06,1593743,94.01
IAN6-13-22-11,2107435,92.79
IAN6-13-22-07,2318161,93.88
IAN6-13-22-01,1398447,94.45
IAN6-13-22-10,2702084,93.56
IAN6-13-22-30,1275154,94.42
IAN6-13-22-34,1820366,94.12
IAN6-13-22-27,1252289,94.26
IAN6-13-22-24,1810930,94.16
IAN6-13-22-33,1878054,93.8
IAN6-13-22-14,878207,94.38
IAN6-13-22-32,1414085,94.04
IAN6-13-22-42,861571,94.57
IAN6-13-22-38,512821,94.62
IAN6-13-22-43,1094055,94.27
IAN6-13-22-44,683732,94.59
IAN6-13-22-57,1329738,94.41
IAN6-13-22-61,1766362,94.35
IAN6-13-22-55,832352,94.64
IAN6-13-22-45,636017,94.58
IAN6-13-22-59,1839786,94.23
IAN6-13-22-58,1113792,94.37
IAN6-13-22-65,1152829,94.56
IAN6-13-22-64,1110408,94.44
IAN6-13-22-66,1039669,94.51
IAN6-13-22-75,720881,94.67
IAN6-13-22-78,958936,94.42
IAN6-13-22-72,1075669,94.59
IAN6-13-22-69,1086544,94.56
IAN6-13-22-77,1314049,94.49
IAN6-13-22-71,953791,94.72
IAN6-13-22-62,1543954,94.06
IAN6-13-22-76,1614820,94.37
IAN6-14-22-7,685638,94.76
IAN6-14-22-8,1069358,94.54
IAN6-14-22-9,420710,94.55
IAN6-14-22-16,761987,94.8
IAN6-20-22-17,1303139,94.4
IAN6-14-22-15,1286927,94.35
IAN6-14-22-10,1160829,94.3
IAN6-20-22-16,1294643,94.36
IAN6-14-22-12,797500,94.7
IAN6-20-22-15,1616973,94.29
IAN6-20-22-38,1218882,94.45
IAN6-20-22-39,866756,94.62
IAN6-20-22-46,1091790,94.62
IAN6-20-22-45,1338264,94.26
IAN6-20-22-40,1066795,94.47
IAN6-20-22-50,1520526,94.13
IAN6-20-22-44,1620316,94.41
IAN6-20-22-18,591621,95.26
IAN6-20-22-47,1461867,88.05
IAN6-20-22-64,1210431,94.54
IAN6-20-22-63,1317870,94.45
IAN6-20-22-65,1069527,94.52
IAN6-20-22-66,1321071,94.67
IAN6-20-22-73,1267306,94.51
IAN2-1-22-6,2204301,94.03
IAN6-20-22-70,1524591,94.49
IAN6-20-22-78,2527580,93.92
IAN6-20-22-71,1548326,94.06
IAN6-20-22-62,2337476,94.02
IAN6-20-22-77,1847572,94.64
IAN7-18-22-16,595661,95.29
IAN7-18-22-15,2117028,94.3
IAN7-18-22-27,1707347,94.45
IAN7-18-22-30,1788357,94.24
IAN7-18-22-23,1108707,94.3
IAN7-18-22-21,1221017,94.06
IAN7-18-22-29,1558144,93.18
IAN7-18-22-22,904688,94.6
IAN7-18-22-13,1356283,94.35
IAN7-18-22-28,1354216,94.47
IAN7-18-22-35,1564055,94.34
IAN7-18-22-34,1231665,94.42
IAN7-18-22-36,1470403,94.24
IAN7-18-22-37,1743571,94.4
IAN7-18-22-41,1189416,94.45
IAN7-18-22-38,1645287,94.26
IAN7-18-22-44,1408440,94.15
IAN7-18-22-39,1101929,94.6
IAN7-18-22-32,1615682,94.37
IAN7-18-22-43,1772418,94.23
IAN7-18-22-48,818405,93.8
IAN7-18-22-47,611063,93.72
IAN7-18-22-49,660551,94.61
IAN8-18-22-7,1867824,94.31
IAN8-18-22-6,1796148,94.21
IAN8-18-22-3,305098,94.89
IAN8-18-22-9,756923,93.96
IAN8-18-22-5,1494937,94.41
IAN7-18-22-46,855581,94.33
IAN8-23-22-13,1483306,92.21
IAN8-23-22-12,2495558,93.24
IAN8-23-22-15,2048994,92.51
IAN4-19-23-1,845322,94.4
IAN4-19-23-5,1731111,93.81
IAN1-23-23-3,1699962,93.66
IAN1-23-23-1,2471062,93.59
IAN4-19-23-3,1315170,93.99
IAN1-23-23-2,1707019,94.12
IAN4-19-23-2,547336,94.61
IAN3-24-22-12,1235803,93.46
IAN3-24-22-1,441088,90.19
IAN3-24-22-14,995425,93.14
IAN5-3-22-1,1583599,93.99
IAN3-17-22-8,3089960,93.06
IAN3-22-22-7,2527705,93.82
IAN5-19-22-17,1769121,93.86
IAN8-18-22-1,1560264,90.73
IAN8-18-22-4,3001327,93.11
IAN3-17-22-20,2181022,93.61
IAN3-31-22-4,2037743,93.82
IAN3-31-22-3,2578831,93.14
IAN8-23-22-16,3556784,91.9
IAN6-13-22-82,2849496,93.25
IAN5-19-22-21,1237528,93.29
IAN6-13-22-15,1912635,93.02
IAN6-13-22-18,1397460,93.84
IAN6-13-22-22,1051729,93.93
IAN5-19-22-13,1900380,93.78
IAN5-19-22-19,2241023,93.53
IAN5-19-22-8,2561875,93.43
IAN5-19-22-18,2883208,93.02
IAN5-28-22-28,1195816,93.53
