sample_name,read_counts,alignment_rates
IAN11-22-21-17,1420276,94.52
IAN11-22-21-11,1159714,93.95
IAN11-22-21-28,1482208,94.32
IAN3-17-22-2,685907,94.91
IAN3-17-22-24,2103323,93.54
IAN3-17-22-10,1470561,94.52
IAN3-17-22-5,2515196,94.01
IAN11-22-21-05,1420894,94.26
IAN3-17-22-16,1752112,94.17
IAN3-17-22-29,1872638,94.15
IAN3-17-22-26,2058027,93.67
IAN3-17-22-34,2025520,93.99
IAN3-22-22-2,2114841,94.52
IAN3-31-22-8,882471,92.9
IAN3-24-22-10,674757,95.17
IAN3-22-22-9,1837240,94.52
IAN3-31-22-7,1840815,92.64
IAN3-24-22-3,2230786,94.35
IAN3-17-22-25,2295072,94.01
IAN3-31-22-5,1819811,94.36
IAN6-20-22-26,2326480,94.03
IAN6-13-22-83,2169122,93.58
IAN5-19-22-5,1199660,94.56
IAN5-19-22-9,956099,94.66
IAN5-28-22-01,1249339,94.11
IAN5-28-22-14A,1225668,93.54
IAN5-19-22-27,856591,95.01
IAN5-19-22-23,1237871,94.7
IAN5-28-22-11,1105696,92.91
IAN5-19-22-24,1255442,94.47
IAN6-13-22-35,2041332,93.94
IAN5-28-22-02,1525240,94.75
IAN5-28-22-23,1670343,94.21
IAN6-2-22-1,1805794,5.7
IAN5-28-22-24,1842905,94.18
IAN6-13-22-74,1854953,94.03
IAN6-20-22-10,1951553,93.42
IAN7-18-22-31,866238,87.72
IAN6-20-22-06,1523743,94.31
IAN7-18-22-25,2040305,91.93
IAN6-14-22-02,1883814,94.1
IAN5-28-22-8,1610165,94.59
IAN6-20-22-59,2597333,93.74
IAN11-22-21-08,2093703,94.04
IAN11-22-21-01,2272444,93.12
IAN11-22-21-10,1877060,93.84
IAN11-22-21-13,1987971,90.91
IAN2-1-22-11,1174081,92.27
IAN11-22-21-26,1459554,93.88
IAN11-22-21-16,1985557,93.96
IAN2-1-22-10,1228170,91.44
IAN11-22-21-22,2367894,93.8
IAN5-19-22-25,399623,95.36
IAN2-1-22-08,2168821,93.8
IAN5-19-22-28,336925,94.28
IAN5-19-22-31,1169897,94.4
IAN5-19-22-32,1535389,94.2
IAN5-19-22-36,596974,92.49
IAN5-19-22-39,1908803,92.48
IAN5-19-22-35,1997065,94.07
IAN5-19-22-33,2296685,94
IAN5-19-22-38,2452627,92.36
IAN5-19-22-34,1119880,94.22
IAN3-31-22-2,2277568,94.03
IAN5-19-22-37,1444458,94.31
IAN5-19-22-42,918555,94.26
IAN5-19-22-41,1817444,93.28
