bam	read_counts
IAN_2brad_L2_1_S9_L002_R1_001_AGTG	967678
IAN_2brad_L2_1_S9_L002_R1_001_CATC	1062537
IAN_2brad_L2_1_S9_L002_R1_001_CTAC	1261311
IAN_2brad_L2_1_S9_L002_R1_001_GACT	1259964
IAN_2brad_L2_1_S9_L002_R1_001_GCTT	1512201
IAN_2brad_L2_1_S9_L002_R1_001_GTGA	1569097
IAN_2brad_L2_1_S9_L002_R1_001_TCAC	1931148
IAN_2brad_L2_1_S9_L002_R1_001_TCAG	1693176
IAN_2brad_L2_1_S9_L002_R1_001_TGGT	1315093
IAN_2brad_L2_1_S9_L002_R1_001_TGTC	1560060
IAN_2brad_L2_2_S10_L002_R1_001_ACCA	932462
IAN_2brad_L2_2_S10_L002_R1_001_AGAC	1031388
IAN_2brad_L2_2_S10_L002_R1_001_AGTG	1536636
IAN_2brad_L2_2_S10_L002_R1_001_CATC	786048
IAN_2brad_L2_2_S10_L002_R1_001_CTAC	1594307
IAN_2brad_L2_2_S10_L002_R1_001_GACT	1258669
IAN_2brad_L2_2_S10_L002_R1_001_GCTT	1240138
IAN_2brad_L2_2_S10_L002_R1_001_GTGA	623289
IAN_2brad_L2_2_S10_L002_R1_001_TCAC	3005557
IAN_2brad_L2_2_S10_L002_R1_001_TCAG	955347
IAN_2brad_L2_2_S10_L002_R1_001_TGGT	1183988
IAN_2brad_L2_2_S10_L002_R1_001_TGTC	2394629
IAN_2brad_L2_3_S11_L002_R1_001_ACCA	1612675
IAN_2brad_L2_3_S11_L002_R1_001_AGAC	2126791
IAN_2brad_L2_3_S11_L002_R1_001_AGTG	1545997
IAN_2brad_L2_3_S11_L002_R1_001_CATC	1620851
IAN_2brad_L2_3_S11_L002_R1_001_CTAC	1385954
IAN_2brad_L2_3_S11_L002_R1_001_GACT	2285583
IAN_2brad_L2_3_S11_L002_R1_001_GCTT	1667389
IAN_2brad_L2_3_S11_L002_R1_001_GTGA	2294817
IAN_2brad_L2_3_S11_L002_R1_001_TCAC	1917796
IAN_2brad_L2_3_S11_L002_R1_001_TCAG	1676623
IAN_2brad_L2_3_S11_L002_R1_001_TGGT	1896622
IAN_2brad_L2_3_S11_L002_R1_001_TGTC	2040456
IAN_2brad_L2_4_S12_L002_R1_001_ACCA	692753
IAN_2brad_L2_4_S12_L002_R1_001_AGAC	1861036
IAN_2brad_L2_4_S12_L002_R1_001_AGTG	1212474
IAN_2brad_L2_4_S12_L002_R1_001_CATC	950444
IAN_2brad_L2_4_S12_L002_R1_001_CTAC	634878
IAN_2brad_L2_4_S12_L002_R1_001_GACT	2781209
IAN_2brad_L2_4_S12_L002_R1_001_GCTT	1850566
IAN_2brad_L2_4_S12_L002_R1_001_GTGA	2018824
IAN_2brad_L2_4_S12_L002_R1_001_TCAC	2078229
IAN_2brad_L2_4_S12_L002_R1_001_TCAG	1661497
IAN_2brad_L2_4_S12_L002_R1_001_TGGT	789105
IAN_2brad_L2_4_S12_L002_R1_001_TGTC	1759273
IAN_2brad_L2_5_S13_L002_R1_001_ACCA	641028
IAN_2brad_L2_5_S13_L002_R1_001_AGAC	1943544
IAN_2brad_L2_5_S13_L002_R1_001_AGTG	1840665
IAN_2brad_L2_5_S13_L002_R1_001_CATC	1987554
IAN_2brad_L2_5_S13_L002_R1_001_CTAC	1767987
IAN_2brad_L2_5_S13_L002_R1_001_GACT	1245074
