old	new
IAN_2brad_L2_4_S12_L002_R1_001_AGAC.trim.bt2.bam	bam_133
IAN_2brad_L2_4_S12_L002_R1_001_AGTG.trim.bt2.bam	bam_134
IAN_2brad_L2_4_S12_L002_R1_001_CATC.trim.bt2.bam	bam_135
IAN_2brad_L2_4_S12_L002_R1_001_CTAC.trim.bt2.bam	bam_136
IAN_2brad_L2_4_S12_L002_R1_001_GACT.trim.bt2.bam	bam_137
IAN_2brad_L2_4_S12_L002_R1_001_GCTT.trim.bt2.bam	bam_138
IAN_2brad_L2_4_S12_L002_R1_001_GTGA.trim.bt2.bam	bam_139
IAN_2brad_L2_4_S12_L002_R1_001_TCAC.trim.bt2.bam	bam_140
IAN_2brad_L2_4_S12_L002_R1_001_TCAG.trim.bt2.bam	bam_141
IAN_2brad_L2_4_S12_L002_R1_001_TGGT.trim.bt2.bam	bam_142
IAN_2brad_L2_4_S12_L002_R1_001_TGTC.trim.bt2.bam	bam_143
IAN_2brad_L2_5_S13_L002_R1_001_ACCA.trim.bt2.bam	bam_144
IAN_2brad_L2_5_S13_L002_R1_001_AGAC.trim.bt2.bam	bam_145
IAN_2brad_L2_5_S13_L002_R1_001_AGTG.trim.bt2.bam	bam_146
IAN_2brad_L2_5_S13_L002_R1_001_CATC.trim.bt2.bam	bam_147
IAN_2brad_L2_5_S13_L002_R1_001_CTAC.trim.bt2.bam	bam_148
IAN_2brad_L2_5_S13_L002_R1_001_GACT.trim.bt2.bam	bam_149
IAN_2brad_L2_5_S13_L002_R1_001_GCTT.trim.bt2.bam	bam_150
IAN_2brad_L2_5_S13_L002_R1_001_GTGA.trim.bt2.bam	bam_151
IAN_2brad_L2_5_S13_L002_R1_001_TCAC.trim.bt2.bam	bam_152
IAN_2brad_L2_5_S13_L002_R1_001_TCAG.trim.bt2.bam	bam_153
IAN_2brad_L2_5_S13_L002_R1_001_TGGT.trim.bt2.bam	bam_154
IAN_2brad_L2_5_S13_L002_R1_001_TGTC.trim.bt2.bam	bam_155
IAN_2brad_L2_6_S14_L002_R1_001_ACCA.trim.bt2.bam	bam_156
IAN_2brad_L2_6_S14_L002_R1_001_AGAC.trim.bt2.bam	bam_157
IAN_2brad_L2_6_S14_L002_R1_001_AGTG.trim.bt2.bam	bam_158
IAN_2brad_L2_6_S14_L002_R1_001_CATC.trim.bt2.bam	bam_159
IAN_2brad_L2_6_S14_L002_R1_001_CTAC.trim.bt2.bam	bam_160
IAN_2brad_L2_6_S14_L002_R1_001_GACT.trim.bt2.bam	bam_161
IAN_2brad_L2_6_S14_L002_R1_001_GCTT.trim.bt2.bam	bam_162
IAN_2brad_L2_6_S14_L002_R1_001_GTGA.trim.bt2.bam	bam_163
IAN_2brad_L2_6_S14_L002_R1_001_TCAC.trim.bt2.bam	bam_164
IAN_2brad_L2_6_S14_L002_R1_001_TCAG.trim.bt2.bam	bam_165
IAN_2brad_L2_6_S14_L002_R1_001_TGGT.trim.bt2.bam	bam_166
IAN_2brad_L2_6_S14_L002_R1_001_TGTC.trim.bt2.bam	bam_167
IAN_2brad_L2_7_S15_L002_R1_001_ACCA.trim.bt2.bam	bam_168
IAN_2brad_L2_7_S15_L002_R1_001_AGAC.trim.bt2.bam	bam_169
IAN_2brad_L2_7_S15_L002_R1_001_AGTG.trim.bt2.bam	bam_170
IAN_2brad_L2_7_S15_L002_R1_001_CATC.trim.bt2.bam	bam_171
IAN_2brad_L2_7_S15_L002_R1_001_CTAC.trim.bt2.bam	bam_172
IAN_2brad_L2_7_S15_L002_R1_001_GACT.trim.bt2.bam	bam_173
IAN_2brad_L2_7_S15_L002_R1_001_GCTT.trim.bt2.bam	bam_174
IAN_2brad_L2_7_S15_L002_R1_001_GTGA.trim.bt2.bam	bam_175
IAN_2brad_L2_7_S15_L002_R1_001_TCAC.trim.bt2.bam	bam_176
IAN_2brad_L2_7_S15_L002_R1_001_TCAG.trim.bt2.bam	bam_177
IAN_2brad_L2_7_S15_L002_R1_001_TGGT.trim.bt2.bam	bam_178
IAN_2brad_L2_7_S15_L002_R1_001_TGTC.trim.bt2.bam	bam_179
IAN_2brad_L2_8_S16_L002_R1_001_ACCA.trim.bt2.bam	bam_180
IAN_2brad_L2_8_S16_L002_R1_001_AGAC.trim.bt2.bam	bam_181
IAN_2brad_L2_8_S16_L002_R1_001_AGTG.trim.bt2.bam	bam_182
IAN_2brad_L2_8_S16_L002_R1_001_CATC.trim.bt2.bam	bam_183
IAN_2brad_L2_8_S16_L002_R1_001_CTAC.trim.bt2.bam	bam_184
IAN_2brad_L2_8_S16_L002_R1_001_GACT.trim.bt2.bam	bam_185
IAN_2brad_L2_8_S16_L002_R1_001_GCTT.trim.bt2.bam	bam_186
IAN_2brad_L2_8_S16_L002_R1_001_GTGA.trim.bt2.bam	bam_187
IAN_2brad_L2_8_S16_L002_R1_001_TCAC.trim.bt2.bam	bam_188
IAN_2brad_L2_8_S16_L002_R1_001_TCAG.trim.bt2.bam	bam_189
IAN_2brad_L2_8_S16_L002_R1_001_TGGT.trim.bt2.bam	bam_190
IAN_2brad_L2_8_S16_L002_R1_001_TGTC.trim.bt2.bam	bam_191
IAN_2brad_L3_1_S1_L001_R1_001_ACCA.trim.bt2.bam	bam_192
IAN_2brad_L3_1_S1_L001_R1_001_AGAC.trim.bt2.bam	bam_193
IAN_2brad_L3_1_S1_L001_R1_001_AGTG.trim.bt2.bam	bam_194
IAN_2brad_L3_1_S1_L001_R1_001_CATC.trim.bt2.bam	bam_195
IAN_2brad_L3_1_S1_L001_R1_001_CTAC.trim.bt2.bam	bam_196
IAN_2brad_L3_1_S1_L001_R1_001_GACT.trim.bt2.bam	bam_197
IAN_2brad_L3_1_S1_L001_R1_001_GCTT.trim.bt2.bam	bam_198
IAN_2brad_L3_1_S1_L001_R1_001_GTGA.trim.bt2.bam	bam_199
IAN_2brad_L3_1_S1_L001_R1_001_TCAC.trim.bt2.bam	bam_200
IAN_2brad_L3_1_S1_L001_R1_001_TCAG.trim.bt2.bam	bam_201
IAN_2brad_L3_1_S1_L001_R1_001_TGGT.trim.bt2.bam	bam_202
IAN_2brad_L3_1_S1_L001_R1_001_TGTC.trim.bt2.bam	bam_203
IAN_2brad_L3_2_S2_L001_R1_001_ACCA.trim.bt2.bam	bam_204
IAN_2brad_L3_2_S2_L001_R1_001_AGAC.trim.bt2.bam	bam_205
IAN_2brad_L3_2_S2_L001_R1_001_AGTG.trim.bt2.bam	bam_206
IAN_2brad_L3_2_S2_L001_R1_001_CATC.trim.bt2.bam	bam_207
IAN_2brad_L3_2_S2_L001_R1_001_CTAC.trim.bt2.bam	bam_208
IAN_2brad_L3_2_S2_L001_R1_001_GACT.trim.bt2.bam	bam_209
IAN_2brad_L3_2_S2_L001_R1_001_GCTT.trim.bt2.bam	bam_210
IAN_2brad_L3_2_S2_L001_R1_001_GTGA.trim.bt2.bam	bam_211
IAN_2brad_L3_2_S2_L001_R1_001_TCAC.trim.bt2.bam	bam_212
IAN_2brad_L3_2_S2_L001_R1_001_TCAG.trim.bt2.bam	bam_213
IAN_2brad_L3_2_S2_L001_R1_001_TGGT.trim.bt2.bam	bam_214
IAN_2brad_L3_2_S2_L001_R1_001_TGTC.trim.bt2.bam	bam_215
IAN_2brad_L3_3_S3_L001_R1_001_ACCA.trim.bt2.bam	bam_216
IAN_2brad_L3_3_S3_L001_R1_001_AGAC.trim.bt2.bam	bam_217
IAN_2brad_L3_3_S3_L001_R1_001_AGTG.trim.bt2.bam	bam_218
IAN_2brad_L3_3_S3_L001_R1_001_CATC.trim.bt2.bam	bam_219
IAN_2brad_L3_3_S3_L001_R1_001_CTAC.trim.bt2.bam	bam_220
IAN_2brad_L3_3_S3_L001_R1_001_GACT.trim.bt2.bam	bam_221
IAN_2brad_L3_3_S3_L001_R1_001_GCTT.trim.bt2.bam	bam_222
IAN_2brad_L3_3_S3_L001_R1_001_GTGA.trim.bt2.bam	bam_223
IAN_2brad_L3_3_S3_L001_R1_001_TCAC.trim.bt2.bam	bam_224
IAN_2brad_L3_3_S3_L001_R1_001_TCAG.trim.bt2.bam	bam_225
IAN_2brad_L3_3_S3_L001_R1_001_TGTC.trim.bt2.bam	bam_226
IAN_2brad_L3_4_S4_L001_R1_001_ACCA.trim.bt2.bam	bam_227
IAN_2brad_L3_4_S4_L001_R1_001_AGTG.trim.bt2.bam	bam_228
IAN_2brad_L3_4_S4_L001_R1_001_CATC.trim.bt2.bam	bam_229
IAN_2brad_L3_4_S4_L001_R1_001_CTAC.trim.bt2.bam	bam_230
IAN_2brad_L3_4_S4_L001_R1_001_GCTT.trim.bt2.bam	bam_231
IAN_2brad_L3_4_S4_L001_R1_001_GTGA.trim.bt2.bam	bam_232
IAN_2brad_L3_4_S4_L001_R1_001_TCAC.trim.bt2.bam	bam_233
IAN_2brad_L3_4_S4_L001_R1_001_TCAG.trim.bt2.bam	bam_234
IAN_2brad_L3_4_S4_L001_R1_001_TGGT.trim.bt2.bam	bam_235
IAN_2brad_L3_4_S4_L001_R1_001_TGTC.trim.bt2.bam	bam_236
IAN_2brad_L3_5_S5_L001_R1_001_ACCA.trim.bt2.bam	bam_237
IAN_2brad_L3_5_S5_L001_R1_001_AGAC.trim.bt2.bam	bam_238
IAN_2brad_L3_5_S5_L001_R1_001_AGTG.trim.bt2.bam	bam_239
IAN_2brad_L3_5_S5_L001_R1_001_CATC.trim.bt2.bam	bam_240
IAN_2brad_L3_5_S5_L001_R1_001_CTAC.trim.bt2.bam	bam_241
IAN_2brad_L3_5_S5_L001_R1_001_GACT.trim.bt2.bam	bam_242
IAN_2brad_L3_5_S5_L001_R1_001_GCTT.trim.bt2.bam	bam_243
IAN_2brad_L3_5_S5_L001_R1_001_GTGA.trim.bt2.bam	bam_244
IAN_2brad_L3_5_S5_L001_R1_001_TCAC.trim.bt2.bam	bam_245
IAN_2brad_L3_5_S5_L001_R1_001_TCAG.trim.bt2.bam	bam_246
IAN_2brad_L3_5_S5_L001_R1_001_TGGT.trim.bt2.bam	bam_247
IAN_2brad_L3_5_S5_L001_R1_001_TGTC.trim.bt2.bam	bam_248
IAN_2brad_L3_6_S6_L001_R1_001_ACCA.trim.bt2.bam	bam_249
IAN_2brad_L3_6_S6_L001_R1_001_AGAC.trim.bt2.bam	bam_250
IAN_2brad_L3_6_S6_L001_R1_001_CATC.trim.bt2.bam	bam_251
IAN_2brad_L3_6_S6_L001_R1_001_CTAC.trim.bt2.bam	bam_252
IAN_2brad_L3_6_S6_L001_R1_001_GACT.trim.bt2.bam	bam_253
IAN_2brad_L3_6_S6_L001_R1_001_GCTT.trim.bt2.bam	bam_254
IAN_2brad_L3_6_S6_L001_R1_001_GTGA.trim.bt2.bam	bam_255
IAN_2brad_L3_6_S6_L001_R1_001_TCAC.trim.bt2.bam	bam_256
IAN_2brad_L3_6_S6_L001_R1_001_TCAG.trim.bt2.bam	bam_257
IAN_2brad_L3_6_S6_L001_R1_001_TGGT.trim.bt2.bam	bam_258
IAN_2brad_L3_6_S6_L001_R1_001_TGTC.trim.bt2.bam	bam_259
IAN_2brad_L3_7_S7_L001_R1_001_ACCA.trim.bt2.bam	bam_260
IAN_2brad_L3_7_S7_L001_R1_001_AGAC.trim.bt2.bam	bam_261
IAN_2brad_L3_7_S7_L001_R1_001_AGTG.trim.bt2.bam	bam_262
IAN_2brad_L3_7_S7_L001_R1_001_CATC.trim.bt2.bam	bam_263
IAN_2brad_L3_7_S7_L001_R1_001_CTAC.trim.bt2.bam	bam_264
IAN_2brad_L3_7_S7_L001_R1_001_GACT.trim.bt2.bam	bam_265
IAN_2brad_L3_7_S7_L001_R1_001_GCTT.trim.bt2.bam	bam_266
IAN_2brad_L3_7_S7_L001_R1_001_GTGA.trim.bt2.bam	bam_267
IAN_2brad_L3_7_S7_L001_R1_001_TCAC.trim.bt2.bam	bam_268
IAN_2brad_L3_7_S7_L001_R1_001_TCAG.trim.bt2.bam	bam_269
IAN_2brad_L3_7_S7_L001_R1_001_TGGT.trim.bt2.bam	bam_270
IAN_2brad_L3_7_S7_L001_R1_001_TGTC.trim.bt2.bam	bam_271
IAN_2brad_L3_8_S8_L001_R1_001_ACCA.trim.bt2.bam	bam_272
IAN_2brad_L3_8_S8_L001_R1_001_AGAC.trim.bt2.bam	bam_273
IAN_2brad_L3_8_S8_L001_R1_001_AGTG.trim.bt2.bam	bam_274
IAN_2brad_L3_8_S8_L001_R1_001_CTAC.trim.bt2.bam	bam_275
IAN_2brad_L3_8_S8_L001_R1_001_GACT.trim.bt2.bam	bam_276
IAN_2brad_L3_8_S8_L001_R1_001_GCTT.trim.bt2.bam	bam_277
IAN_2brad_L3_8_S8_L001_R1_001_GTGA.trim.bt2.bam	bam_278
IAN_2brad_L3_8_S8_L001_R1_001_TCAC.trim.bt2.bam	bam_279
IAN_2brad_L3_8_S8_L001_R1_001_TCAG.trim.bt2.bam	bam_280
IAN_2brad_L3_8_S8_L001_R1_001_TGGT.trim.bt2.bam	bam_281
IAN_2brad_L3_8_S8_L001_R1_001_TGTC.trim.bt2.bam	bam_282
IAN_2brad_L4_1_S9_L002_R1_001_ACCA.trim.bt2.bam	bam_283
IAN_2brad_L4_1_S9_L002_R1_001_AGAC.trim.bt2.bam	bam_284
IAN_2brad_L4_1_S9_L002_R1_001_CATC.trim.bt2.bam	bam_285
IAN_2brad_L4_1_S9_L002_R1_001_CTAC.trim.bt2.bam	bam_286
IAN_2brad_L4_1_S9_L002_R1_001_GACT.trim.bt2.bam	bam_287
IAN_2brad_L4_1_S9_L002_R1_001_GCTT.trim.bt2.bam	bam_288
IAN_2brad_L4_1_S9_L002_R1_001_GTGA.trim.bt2.bam	bam_289
IAN_2brad_L4_1_S9_L002_R1_001_TCAC.trim.bt2.bam	bam_290
IAN_2brad_L4_1_S9_L002_R1_001_TCAG.trim.bt2.bam	bam_291
IAN_2brad_L4_1_S9_L002_R1_001_TGGT.trim.bt2.bam	bam_292
IAN_2brad_L4_1_S9_L002_R1_001_TGTC.trim.bt2.bam	bam_293
IAN_2brad_L4_2_S10_L002_R1_001_ACCA.trim.bt2.bam	bam_294
IAN_2brad_L4_2_S10_L002_R1_001_AGAC.trim.bt2.bam	bam_295
IAN_2brad_L4_2_S10_L002_R1_001_AGTG.trim.bt2.bam	bam_296
IAN_2brad_L4_2_S10_L002_R1_001_CATC.trim.bt2.bam	bam_297
IAN_2brad_L4_2_S10_L002_R1_001_CTAC.trim.bt2.bam	bam_298
IAN_2brad_L4_2_S10_L002_R1_001_GACT.trim.bt2.bam	bam_299
IAN_2brad_L4_2_S10_L002_R1_001_GCTT.trim.bt2.bam	bam_300
IAN_2brad_L4_2_S10_L002_R1_001_GTGA.trim.bt2.bam	bam_301
IAN_2brad_L4_2_S10_L002_R1_001_TCAC.trim.bt2.bam	bam_302
IAN_2brad_L4_2_S10_L002_R1_001_TCAG.trim.bt2.bam	bam_303
IAN_2brad_L4_2_S10_L002_R1_001_TGGT.trim.bt2.bam	bam_304
IAN_2brad_L4_2_S10_L002_R1_001_TGTC.trim.bt2.bam	bam_305
IAN_2brad_L4_3_S11_L002_R1_001_ACCA.trim.bt2.bam	bam_306
IAN_2brad_L4_3_S11_L002_R1_001_AGAC.trim.bt2.bam	bam_307
IAN_2brad_L4_3_S11_L002_R1_001_AGTG.trim.bt2.bam	bam_308
IAN_2brad_L4_3_S11_L002_R1_001_CATC.trim.bt2.bam	bam_309
IAN_2brad_L4_3_S11_L002_R1_001_CTAC.trim.bt2.bam	bam_310
IAN_2brad_L4_3_S11_L002_R1_001_GCTT.trim.bt2.bam	bam_311
IAN_2brad_L4_3_S11_L002_R1_001_TCAC.trim.bt2.bam	bam_312
IAN_2brad_L4_3_S11_L002_R1_001_TCAG.trim.bt2.bam	bam_313
IAN_2brad_L4_3_S11_L002_R1_001_TGGT.trim.bt2.bam	bam_314
IAN_2brad_L4_3_S11_L002_R1_001_TGTC.trim.bt2.bam	bam_315
IAN_2brad_L4_4_S12_L002_R1_001_ACCA.trim.bt2.bam	bam_316
IAN_2brad_L4_4_S12_L002_R1_001_AGAC.trim.bt2.bam	bam_317
IAN_2brad_L4_4_S12_L002_R1_001_AGTG.trim.bt2.bam	bam_318
IAN_2brad_L4_4_S12_L002_R1_001_CATC.trim.bt2.bam	bam_319
