Ho	Hs	Ht	Dst	Htp	Dstp	Fst	Fstp	Fis	Dest
0.2182	0.2441	0.3167	0.0726	0.3228	0.0786	0.2292	0.2436	0.1063	0.104
0.2182	0.244	0.3166	0.0726	0.3227	0.0786	0.2292	0.2437	0.1059	0.104
0.2186	0.2443	0.3167	0.0724	0.3227	0.0784	0.2286	0.243	0.1052	0.1038
0.2183	0.2439	0.3165	0.0726	0.3225	0.0787	0.2294	0.2439	0.105	0.104
0.2183	0.244	0.3166	0.0726	0.3226	0.0786	0.2293	0.2438	0.1052	0.104
0.2182	0.2442	0.3166	0.0724	0.3227	0.0785	0.2287	0.2432	0.1063	0.1038
0.2182	0.244	0.3165	0.0725	0.3226	0.0786	0.2291	0.2435	0.1058	0.1039
0.2183	0.2441	0.3166	0.0725	0.3226	0.0786	0.2291	0.2435	0.1055	0.1039
0.2182	0.2442	0.3167	0.0725	0.3228	0.0786	0.229	0.2435	0.1066	0.104
0.2182	0.244	0.3164	0.0724	0.3224	0.0784	0.2288	0.2432	0.1055	0.1037
0.2184	0.2441	0.3166	0.0725	0.3226	0.0786	0.229	0.2435	0.1053	0.1039
0.2184	0.2441	0.3165	0.0724	0.3225	0.0784	0.2287	0.2431	0.1053	0.1037
0.2184	0.2441	0.3166	0.0725	0.3226	0.0785	0.229	0.2434	0.1055	0.1039
0.2182	0.244	0.3165	0.0725	0.3226	0.0785	0.229	0.2434	0.106	0.1039
0.2185	0.244	0.3167	0.0726	0.3227	0.0787	0.2293	0.2437	0.1046	0.1041
0.218	0.2438	0.3165	0.0727	0.3226	0.0788	0.2298	0.2442	0.1058	0.1042
0.2187	0.2441	0.3167	0.0725	0.3227	0.0786	0.2291	0.2435	0.1044	0.104
0.2182	0.244	0.3164	0.0724	0.3225	0.0785	0.2289	0.2433	0.1058	0.1038
0.2182	0.2442	0.3166	0.0725	0.3226	0.0785	0.2288	0.2433	0.1061	0.1038
0.2186	0.2441	0.3164	0.0723	0.3224	0.0783	0.2285	0.2429	0.1047	0.1036
0.2185	0.2439	0.3165	0.0725	0.3225	0.0786	0.2292	0.2437	0.1044	0.104
0.2185	0.2442	0.3165	0.0723	0.3225	0.0784	0.2286	0.243	0.1049	0.1037
0.2183	0.244	0.3166	0.0726	0.3226	0.0787	0.2293	0.2438	0.1052	0.104
0.2183	0.2442	0.3167	0.0725	0.3227	0.0786	0.229	0.2434	0.1059	0.1039
0.2185	0.2441	0.3166	0.0725	0.3227	0.0786	0.2291	0.2435	0.1048	0.104
