Karen Zee	Michael Bell	Museum of Science	NMAI Cultural Resource Center	Theater Museum	Albertina Museum	Helen Weidenhofer	National Archives Surrey	Isabel Novick	Rudy Plarre	Yale	Christina Biscula	Tonya Hoff
0.246393090526139	0.217123296182173	0.258400399935492	0.322961881290347	0.246357893323124	0.288192722121198	0.264996887914657	0.244850657763788	0.215915802535249	0.275801678761038	0.272850297571951	0.276624108825513	0.313600321069113
0.244411530020729	0.215760371216928	0.260858787393799	0.323563377333106	0.244569336437947	0.289994584583667	0.261556609914324	0.243826255150417	0.217593459482652	0.276765739223204	0.271389219379066	0.273955161630804	0.303955730213033
0.242108441644538	0.215560196722615	0.259049940555581	0.323630172022928	0.243885504670265	0.288842362545819	0.26072608998579	0.243416658823375	0.217404227281788	0.275512079363857	0.271633336187856	0.277910608776612	0.310200985976286
0.244940857728061	0.217673099997913	0.256832423560852	0.322599577187541	0.245325155780649	0.288328550711141	0.262358522824507	0.244854456743516	0.218717013139276	0.274101239799855	0.26827565499465	0.280895353670529	0.310102507498131
0.245626168589323	0.219938904971001	0.259178299007805	0.321886479864274	0.243949204249881	0.288808424616218	0.264238562953959	0.244890627181648	0.214263497167578	0.275920724547401	0.27571856300878	0.274011144428459	0.308389623384739
0.246805517459794	0.215610310240562	0.261002171682801	0.324008623365727	0.24659525737302	0.289458232083149	0.263685706150134	0.248399200401413	0.21573654110881	0.274538177327167	0.266548731312391	0.2732814883127	0.30980973766771
0.24324436581272	0.216269780435912	0.25868280304596	0.319420097619983	0.249379829933467	0.290546767259216	0.264089594166779	0.243383441393897	0.213314947840051	0.272690109125622	0.272517373795379	0.273227243034146	0.309183397638929
0.246445726804315	0.217518925459259	0.261444710236715	0.319917061530156	0.24470862611115	0.290861018446111	0.264399739330285	0.240949640430876	0.213294708329263	0.276782691993278	0.272386244297278	0.273244850263967	0.305936506550895
0.245670239140019	0.213423731557324	0.262915543083373	0.324329470559748	0.246117920445098	0.291427122619476	0.262062101237777	0.24311369289779	0.216047412057588	0.275942134729645	0.269880684878815	0.272901846613788	0.312072691503373
0.246033593845771	0.215357699733691	0.259417908963635	0.32333683374011	0.245446220515923	0.28806335794858	0.263802457826556	0.2435039880821	0.213711033840307	0.275220496718548	0.272503948342604	0.275942630067849	0.313936219816845
